               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.038595,             0.06491,           0.0047652,             0.87096,             0.67726,             0.76367,             0.46655,            0.035207,            0.037996,           0.0026923,           0.0088584,           0.0088584,           0.0088584
                  53,            0.038782,            0.064364,           0.0047832,             0.80598,             0.69326,             0.75247,             0.45588,            0.035456,            0.039644,           0.0029034,           0.0088153,           0.0088153,           0.0088153
                  54,            0.038368,            0.066475,           0.0044542,             0.76797,             0.73231,             0.77503,              0.4833,            0.034557,             0.03761,           0.0027155,           0.0087715,           0.0087715,           0.0087715
                  55,             0.03835,              0.0652,           0.0045025,             0.72087,             0.74405,             0.78678,             0.47461,            0.035475,            0.036841,            0.002389,           0.0087271,           0.0087271,           0.0087271
                  56,            0.038384,            0.063378,           0.0043305,             0.78471,             0.76945,             0.79126,             0.49367,            0.034283,            0.036264,           0.0025717,            0.008682,            0.008682,            0.008682
                  57,            0.038034,              0.0647,           0.0042759,             0.71439,             0.79742,             0.81842,             0.51303,            0.034895,            0.036493,           0.0024092,           0.0086362,           0.0086362,           0.0086362
                  58,            0.037298,            0.063786,            0.004299,             0.74899,              0.7689,              0.8011,             0.50168,            0.034221,             0.03828,           0.0027242,           0.0085898,           0.0085898,           0.0085898
                  59,            0.037034,            0.063041,           0.0042325,             0.83909,             0.78575,             0.83804,             0.54644,            0.032675,            0.034826,           0.0021696,           0.0085428,           0.0085428,           0.0085428
                  60,            0.037831,            0.063759,           0.0041122,             0.78707,             0.78988,             0.82983,             0.53973,            0.032406,            0.034878,           0.0022189,           0.0084951,           0.0084951,           0.0084951
                  61,            0.037159,            0.062072,           0.0038996,             0.82568,             0.78666,             0.82051,             0.53357,            0.033026,            0.035351,           0.0023303,           0.0084469,           0.0084469,           0.0084469
                  62,            0.037197,            0.062189,           0.0041207,             0.80313,              0.7496,             0.79786,             0.49033,            0.034073,            0.039129,           0.0024701,            0.008398,            0.008398,            0.008398
                  63,            0.036322,            0.061322,           0.0038162,             0.85676,             0.75402,             0.83042,             0.52384,            0.034721,            0.036928,           0.0022353,           0.0083486,           0.0083486,           0.0083486
                  64,            0.037222,            0.063542,           0.0040912,             0.84811,             0.75736,             0.82776,             0.51894,            0.034181,            0.037012,           0.0022012,           0.0082985,           0.0082985,           0.0082985
                  65,            0.036731,            0.061944,           0.0037567,             0.83052,              0.7869,               0.838,             0.55004,            0.032281,            0.034833,           0.0021747,           0.0082479,           0.0082479,           0.0082479
                  66,             0.03632,            0.062854,           0.0039494,             0.85347,             0.80409,             0.86248,             0.55073,            0.032855,            0.034326,           0.0019213,           0.0081967,           0.0081967,           0.0081967
                  67,            0.035899,            0.061282,            0.003747,             0.83665,             0.76427,             0.82896,             0.53535,            0.033063,            0.036651,           0.0024068,            0.008145,            0.008145,            0.008145
                  68,            0.036856,            0.061633,           0.0037722,             0.80277,              0.8103,             0.83609,             0.54047,            0.033506,              0.0374,           0.0020985,           0.0080928,           0.0080928,           0.0080928
                  69,             0.03559,            0.059353,           0.0035654,             0.87689,             0.81702,             0.87198,             0.56768,             0.03216,            0.034835,           0.0019098,             0.00804,             0.00804,             0.00804
                  70,            0.036501,            0.061341,           0.0036625,             0.82983,             0.82775,             0.86206,             0.56341,            0.031903,            0.034297,           0.0019771,           0.0079867,           0.0079867,           0.0079867
                  71,            0.035612,            0.059383,           0.0037501,             0.88114,             0.80458,             0.87626,             0.56959,            0.032008,            0.034548,           0.0019173,           0.0079329,           0.0079329,           0.0079329
                  72,             0.03546,            0.059885,           0.0035739,             0.81487,             0.85396,             0.86783,             0.57021,            0.031142,            0.032863,           0.0018763,           0.0078786,           0.0078786,           0.0078786
                  73,            0.035247,            0.060264,           0.0035271,             0.81699,             0.86693,              0.8777,             0.59289,            0.030935,            0.033064,           0.0017294,           0.0078238,           0.0078238,           0.0078238
                  74,            0.035588,            0.060369,           0.0033617,              0.8626,             0.81239,             0.86929,             0.56834,            0.032437,            0.034388,           0.0018188,           0.0077685,           0.0077685,           0.0077685
                  75,            0.035413,             0.06067,           0.0034346,             0.85699,             0.80809,             0.85396,             0.55423,            0.032601,            0.036276,           0.0019533,           0.0077128,           0.0077128,           0.0077128
                  76,            0.034994,            0.059322,           0.0036108,             0.89709,             0.82111,             0.88815,             0.60608,            0.030539,             0.03246,           0.0016583,           0.0076566,           0.0076566,           0.0076566
                  77,            0.034745,            0.058245,           0.0036007,               0.857,             0.86849,             0.88533,             0.58622,            0.031591,            0.032778,           0.0016864,              0.0076,              0.0076,              0.0076
                  78,            0.034491,            0.059301,           0.0033908,             0.84889,             0.83048,             0.87127,             0.57225,            0.030506,            0.033025,           0.0018566,            0.007543,            0.007543,            0.007543
                  79,            0.035283,            0.058803,           0.0034831,             0.86494,             0.82061,             0.87908,             0.59416,            0.030713,            0.032716,           0.0018031,           0.0074855,           0.0074855,           0.0074855
                  80,            0.034542,            0.058355,           0.0033876,             0.87963,             0.83881,               0.892,             0.60905,            0.029776,            0.031452,           0.0016621,           0.0074276,           0.0074276,           0.0074276
                  81,            0.034485,            0.058271,           0.0031915,             0.87979,             0.85735,              0.9035,              0.6083,            0.029718,            0.031283,           0.0015484,           0.0073694,           0.0073694,           0.0073694
                  82,            0.034233,            0.057039,            0.003353,             0.89303,             0.85396,             0.90224,             0.61437,            0.029783,            0.031161,           0.0014676,           0.0073107,           0.0073107,           0.0073107
                  83,            0.034375,            0.058007,           0.0032392,             0.87383,             0.79087,              0.8755,             0.56369,            0.032299,            0.036855,           0.0019864,           0.0072517,           0.0072517,           0.0072517
                  84,            0.033683,            0.057802,           0.0032367,             0.90966,             0.84048,             0.90398,             0.59688,            0.031115,            0.031701,           0.0015859,           0.0071923,           0.0071923,           0.0071923
                  85,             0.03454,            0.057135,           0.0033238,             0.86522,             0.86571,             0.89923,             0.61728,            0.029587,            0.031394,           0.0015264,           0.0071326,           0.0071326,           0.0071326
                  86,            0.034011,            0.057326,           0.0031409,             0.89373,              0.8389,             0.88052,             0.59185,            0.030578,            0.032582,           0.0017274,           0.0070726,           0.0070726,           0.0070726
                  87,            0.034065,            0.057572,           0.0032023,              0.9004,             0.85545,             0.89987,             0.62149,             0.02974,            0.031145,            0.001442,           0.0070122,           0.0070122,           0.0070122
                  88,            0.033322,              0.0572,           0.0032397,             0.89391,             0.87776,             0.91673,             0.64133,            0.029158,            0.030486,           0.0014336,           0.0069515,           0.0069515,           0.0069515
                  89,            0.034031,            0.057452,           0.0031016,             0.89476,             0.87832,             0.91363,              0.6313,            0.029326,            0.030754,           0.0014257,           0.0068906,           0.0068906,           0.0068906
                  90,            0.033191,            0.057008,           0.0029207,             0.91225,             0.87669,             0.91871,             0.64362,            0.028795,            0.030301,            0.001375,           0.0068293,           0.0068293,           0.0068293
                  91,            0.033235,            0.056108,           0.0029894,             0.93694,             0.87333,             0.92611,             0.64879,            0.028791,            0.030002,           0.0012838,           0.0067678,           0.0067678,           0.0067678
                  92,            0.033267,            0.057061,           0.0030351,             0.91421,             0.88506,             0.92524,             0.65375,             0.02875,            0.029961,           0.0013868,            0.006706,            0.006706,            0.006706
                  93,            0.032442,              0.0554,           0.0028563,             0.89892,             0.87446,             0.91747,             0.63879,            0.028427,            0.029856,           0.0013244,            0.006644,            0.006644,            0.006644
                  94,            0.032706,            0.056204,           0.0028384,             0.90865,             0.86454,             0.91206,             0.62464,             0.02944,            0.030468,           0.0013657,           0.0065817,           0.0065817,           0.0065817
                  95,            0.032805,            0.056282,           0.0028353,             0.92577,             0.88533,              0.9278,             0.63261,            0.029381,             0.03008,           0.0012828,           0.0065192,           0.0065192,           0.0065192
                  96,            0.033168,            0.056795,           0.0028562,             0.90424,             0.89959,             0.93094,             0.66098,            0.027915,            0.028997,           0.0012098,           0.0064565,           0.0064565,           0.0064565
                  97,            0.032544,            0.055863,           0.0028376,             0.88684,             0.90109,             0.92604,             0.65962,            0.027899,            0.029083,           0.0012262,           0.0063937,           0.0063937,           0.0063937
                  98,            0.032571,            0.053908,           0.0029205,             0.90614,             0.89105,             0.92854,             0.63912,            0.029523,            0.030076,           0.0012682,           0.0063306,           0.0063306,           0.0063306
                  99,            0.032325,             0.05473,           0.0028917,             0.92033,             0.89964,             0.93781,              0.6722,            0.028166,            0.028831,           0.0011333,           0.0062673,           0.0062673,           0.0062673
                 100,            0.032558,            0.055158,           0.0028806,             0.89989,             0.89724,             0.92874,             0.65475,            0.028451,            0.029996,           0.0011984,            0.006204,            0.006204,            0.006204
                 101,            0.032107,            0.055287,           0.0027008,             0.91767,              0.8819,             0.92348,             0.65809,            0.027526,            0.028541,           0.0012172,           0.0061404,           0.0061404,           0.0061404
                 102,            0.032108,            0.055752,           0.0025791,             0.93201,             0.87704,             0.93246,             0.65292,               0.028,            0.028533,           0.0011362,           0.0060767,           0.0060767,           0.0060767
