               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.031084,            0.029999,           0.0018289,             0.94672,             0.91822,             0.96447,             0.72685,            0.022053,            0.013022,          0.00050551,           0.0069394,           0.0069394,           0.0069394
                 111,            0.031086,              0.0301,           0.0017875,             0.93636,             0.92842,             0.96379,             0.72631,             0.02199,            0.013007,          0.00050105,           0.0068906,           0.0068906,           0.0068906
                 112,            0.030871,            0.030279,           0.0017857,             0.93296,             0.92934,             0.96445,             0.72781,            0.021824,            0.012947,          0.00049982,           0.0068416,           0.0068416,           0.0068416
                 113,            0.030924,            0.029967,           0.0017463,             0.93015,             0.93281,             0.96447,             0.72904,             0.02176,            0.012909,          0.00049344,           0.0067924,           0.0067924,           0.0067924
                 114,            0.030597,            0.029761,           0.0017389,             0.92814,             0.93383,             0.96415,             0.73001,            0.021668,            0.012842,          0.00049687,           0.0067431,           0.0067431,           0.0067431
                 115,            0.030879,             0.02925,           0.0016944,             0.93326,             0.93056,             0.96561,             0.73217,            0.021525,            0.012789,          0.00048768,           0.0066936,           0.0066936,           0.0066936
                 116,            0.030776,            0.029445,           0.0017794,              0.9294,              0.9359,             0.96519,             0.73201,            0.021556,            0.012802,          0.00049123,            0.006644,            0.006644,            0.006644
                 117,            0.030403,            0.029521,           0.0016875,             0.94076,             0.92621,             0.96564,             0.73311,            0.021476,             0.01273,          0.00048605,           0.0065942,           0.0065942,           0.0065942
                 118,            0.030561,            0.029263,           0.0016796,             0.92739,              0.9399,             0.96626,             0.73595,            0.021325,            0.012672,           0.0004827,           0.0065443,           0.0065443,           0.0065443
                 119,            0.030427,            0.029022,           0.0017948,              0.9419,             0.92679,             0.96626,             0.73585,            0.021322,            0.012654,          0.00048269,           0.0064942,           0.0064942,           0.0064942
                 120,             0.03029,             0.02978,           0.0017355,             0.94494,             0.92387,              0.9667,               0.736,             0.02126,             0.01264,           0.0004827,            0.006444,            0.006444,            0.006444
                 121,            0.030404,            0.029412,           0.0016721,             0.93933,             0.92775,             0.96651,             0.73646,            0.021249,            0.012631,          0.00048223,           0.0063937,           0.0063937,           0.0063937
                 122,            0.029909,            0.029093,           0.0015333,             0.93927,             0.92869,             0.96686,             0.73685,            0.021209,            0.012598,          0.00047939,           0.0063432,           0.0063432,           0.0063432
                 123,            0.030214,            0.029473,           0.0015698,              0.9357,             0.92976,             0.96695,             0.73591,            0.021207,            0.012582,          0.00047689,           0.0062927,           0.0062927,           0.0062927
                 124,            0.030143,            0.029175,            0.001577,              0.9333,             0.93246,             0.96671,             0.73715,            0.021147,            0.012552,          0.00047428,            0.006242,            0.006242,            0.006242
                 125,            0.030031,            0.028964,           0.0016265,             0.93103,             0.93546,             0.96714,             0.73816,            0.021123,            0.012514,          0.00046753,           0.0061913,           0.0061913,           0.0061913
                 126,            0.029933,            0.029055,           0.0016089,             0.93548,             0.93733,             0.96739,             0.74033,            0.021026,            0.012472,          0.00046302,           0.0061404,           0.0061404,           0.0061404
                 127,            0.029929,             0.02862,           0.0015989,             0.94244,             0.92912,             0.96714,             0.74303,            0.020943,            0.012443,          0.00046562,           0.0060895,           0.0060895,           0.0060895
                 128,            0.029768,            0.028898,           0.0015554,             0.93798,             0.93485,             0.96704,             0.74423,            0.020868,            0.012402,          0.00046234,           0.0060385,           0.0060385,           0.0060385
                 129,            0.030138,            0.029115,           0.0017076,             0.93982,             0.93429,             0.96778,             0.74406,            0.020822,            0.012387,          0.00046398,           0.0059874,           0.0059874,           0.0059874
                 130,             0.02988,            0.028473,           0.0015576,             0.93863,             0.93608,             0.96804,             0.74498,            0.020745,            0.012346,          0.00046404,           0.0059363,           0.0059363,           0.0059363
                 131,            0.029736,            0.029229,           0.0016671,             0.93761,             0.93852,             0.96861,              0.7462,            0.020705,            0.012324,          0.00046393,           0.0058851,           0.0058851,           0.0058851
                 132,            0.029466,            0.028718,           0.0016622,             0.93397,             0.94152,             0.96859,             0.74667,            0.020699,            0.012314,          0.00046488,           0.0058338,           0.0058338,           0.0058338
                 133,             0.02959,            0.028611,           0.0015762,             0.93891,             0.93564,             0.96872,             0.74864,            0.020613,            0.012275,          0.00046323,           0.0057826,           0.0057826,           0.0057826
                 134,            0.029668,            0.028581,           0.0014747,             0.94114,             0.93575,              0.9686,              0.7473,            0.020594,            0.012264,          0.00046112,           0.0057312,           0.0057312,           0.0057312
                 135,            0.029478,            0.027834,           0.0015836,             0.93839,             0.94067,             0.96876,             0.74933,            0.020507,             0.01223,           0.0004588,           0.0056799,           0.0056799,           0.0056799
                 136,            0.029168,            0.027586,           0.0014669,             0.94416,              0.9357,             0.96917,             0.75123,            0.020416,            0.012198,          0.00045634,           0.0056285,           0.0056285,           0.0056285
                 137,            0.029293,            0.028125,           0.0014719,             0.94227,             0.93624,             0.96854,             0.75204,            0.020353,            0.012157,          0.00045397,           0.0055771,           0.0055771,           0.0055771
                 138,            0.029351,            0.028426,           0.0014646,             0.94192,             0.93653,             0.96879,             0.75317,            0.020326,            0.012142,          0.00045086,           0.0055257,           0.0055257,           0.0055257
                 139,            0.029547,            0.028559,           0.0015633,              0.9434,              0.9369,             0.96951,             0.75492,            0.020274,            0.012115,          0.00044897,           0.0054743,           0.0054743,           0.0054743
                 140,            0.029355,            0.028439,           0.0014729,             0.94578,             0.93522,              0.9696,             0.75553,             0.02023,            0.012093,          0.00044546,           0.0054229,           0.0054229,           0.0054229
                 141,            0.029185,            0.028097,           0.0015469,              0.9489,             0.93295,             0.97014,              0.7576,            0.020156,            0.012058,          0.00044313,           0.0053715,           0.0053715,           0.0053715
                 142,            0.029199,            0.028219,            0.001514,             0.94845,             0.93463,             0.97055,             0.75896,            0.020134,            0.012029,          0.00044058,           0.0053201,           0.0053201,           0.0053201
                 143,            0.028854,            0.028018,           0.0014863,             0.94569,             0.93744,             0.97053,             0.76002,            0.020108,            0.012014,          0.00043915,           0.0052688,           0.0052688,           0.0052688
                 144,            0.029012,            0.027815,           0.0014816,             0.94586,             0.93747,             0.97078,             0.76097,            0.020055,             0.01199,          0.00043866,           0.0052174,           0.0052174,           0.0052174
                 145,            0.028718,             0.02767,           0.0015313,             0.94802,             0.93549,             0.97152,              0.7614,            0.019989,            0.011961,          0.00043612,           0.0051662,           0.0051662,           0.0051662
                 146,            0.028948,            0.027456,           0.0015117,             0.94287,             0.94011,             0.97105,             0.76167,            0.019971,            0.011942,          0.00043396,           0.0051149,           0.0051149,           0.0051149
                 147,            0.028562,            0.027644,           0.0014168,             0.93929,              0.9447,             0.97122,             0.76263,            0.019881,             0.01191,          0.00043333,           0.0050637,           0.0050637,           0.0050637
                 148,            0.028329,            0.027711,           0.0013818,             0.94206,             0.94094,             0.97125,             0.76319,            0.019827,             0.01189,          0.00043175,           0.0050126,           0.0050126,           0.0050126
                 149,             0.02862,             0.02787,           0.0014942,             0.94465,             0.93833,             0.97116,             0.76342,            0.019787,            0.011867,           0.0004303,           0.0049615,           0.0049615,           0.0049615
                 150,            0.028692,            0.027617,           0.0015059,             0.93826,             0.94457,             0.97115,             0.76405,             0.01975,            0.011845,           0.0004279,           0.0049105,           0.0049105,           0.0049105
                 151,            0.028401,            0.027639,           0.0014219,             0.93523,             0.94802,             0.97139,             0.76397,            0.019735,            0.011828,          0.00042624,           0.0048596,           0.0048596,           0.0048596
                 152,            0.028417,            0.027819,           0.0014894,              0.9404,              0.9442,              0.9718,             0.76517,            0.019664,            0.011806,          0.00042493,           0.0048087,           0.0048087,           0.0048087
                 153,            0.028434,             0.02737,           0.0015029,             0.94133,             0.94367,              0.9721,             0.76551,            0.019652,            0.011793,          0.00042326,            0.004758,            0.004758,            0.004758
                 154,            0.028227,            0.027425,           0.0014334,             0.93727,             0.94871,             0.97214,             0.76608,             0.01963,            0.011776,          0.00042256,           0.0047073,           0.0047073,           0.0047073
                 155,            0.028057,            0.027551,            0.001376,             0.93883,             0.94766,             0.97222,             0.76669,            0.019613,            0.011762,          0.00042078,           0.0046568,           0.0046568,           0.0046568
                 156,            0.028176,            0.027123,           0.0014116,             0.94181,             0.94512,             0.97225,             0.76714,            0.019557,             0.01174,          0.00041898,           0.0046063,           0.0046063,           0.0046063
